url,marca,nombre,genero (desde el titulo),acordes_principales,rating,piramide_olfativa
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,,Le Male Le Parfum Jean Paul Gaultier,for men,"['woody', 'vanilla', 'lavender', 'powdery', 'aromatic', 'violet', 'amber', 'warm spicy', 'iris']",4.6,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Vanilla', 'Oriental notes', 'Woodsy Notes']}"
https://www.fragrantica.es/perfume/Hermes/24-Faubourg-27.html,,24 Faubourg Hermès,Mujeres,"['cítrico', 'floral blanco', 'florales', 'Floral amarillo', 'verde', 'atalcado', 'amaderado', 'ámbar', 'dulce', 'fresco especiado']",3.99,"{'notas_de_salida': ['jacinto', 'naranja', 'ylang-ylang', 'durazno (melocotón)', 'bergamota'], 'notas_de_corazon': ['flor de azahar del naranjo', 'gardenia', 'jazmín', 'saúco negro', 'iris'], 'notas_de_base': ['ámbar', 'sándalo', 'pachulí', 'vainilla']}"
https://www.fragrantica.es/perfume/Rasasi/Hawas-Ice-for-Him-89050.html#cc222146,,Hawas Ice for Him Rasasi,Hombres,"['cítrico', 'afrutados', 'floral blanco', 'fresco', 'anís', 'aromático', 'atalcado', 'dulce', 'especiado suave', 'almizclado']",4.5,"{'notas_de_salida': ['manzana', 'limón italiano (lima italiana)', 'bergamota de Sicilia', 'anís estrellado'], 'notas_de_corazon': ['ciruela', 'flor de azahar del naranjo', 'cardamomo'], 'notas_de_base': ['almizcle', 'ámbar', 'trozos de madera a la deriva', 'musgo']}"
https://www.fragrantica.es/perfume/Yves-Saint-Laurent/Rive-Gauche-96.html,,Rive Gauche Yves Saint Laurent,Mujeres,"['floral blanco', 'fresco', 'aromático', 'verde', 'rosas', 'atalcado', 'aldehídico', 'amaderado', 'terrosos', 'musgoso']",3.92,"{'notas_de_salida': ['aldehídos', 'notas verdes', 'madreselva', 'bergamota', 'durazno (melocotón)', 'limón (lima ácida)'], 'notas_de_corazon': ['rosa', 'iris', 'ylang-ylang', 'lirio de los valles (muguete)', 'geranio', 'jazmín', 'magnolia', 'gardenia'], 'notas_de_base': ['musgo de roble', 'vetiver de Tahití', 'almizcle', 'sándalo', 'haba tonka', 'ámbar']}"
https://www.fragrantica.es/perfume/Kenzo/L-Eau-par-Kenzo-pour-Homme-79.html,,L'Eau par Kenzo pour Homme Kenzo,Hombres,"['cítrico', 'florales', 'fresco', 'aromático', 'verde', 'acuático', 'fresco especiado', 'almizclado']",4.08,"{'notas_de_salida': ['yuzu', 'limón (lima ácida)', 'pimiento verde'], 'notas_de_corazon': ['notas acuáticas', 'flor de loto', 'menta acuática', 'notas verdes'], 'notas_de_base': ['almizcle blanco', 'cedro']}"
https://www.fragrantica.es/perfume/Guerlain/Apres-l-Ondee-13.html,,Apres l'Ondee Guerlain,Mujeres,"['florales', 'anís', 'Floral amarillo', 'atalcado', 'amaderado', 'terrosos', 'especiado suave', 'violeta', 'iris', 'avainillado']",4.3,"{'notas_de_salida': ['anís', 'casia', 'neroli', 'bergamota', 'limón (lima ácida)'], 'notas_de_corazon': ['violeta', 'raíz de lirio', 'mimosa', 'clavel', 'sándalo', 'ylang-ylang', 'vetiver', 'rosa', 'jazmín'], 'notas_de_base': ['iris', 'heliotropo', 'vainilla', 'almizcle', 'benjuí', 'styrax', 'ámbar']}"
https://www.fragrantica.es/perfume/Hermes/24-Faubourg-Eau-Delicate-22.html,,24 Faubourg Eau Delicate Hermès,Mujeres,"['cítrico', 'floral blanco', 'aromático', 'fresco especiado', 'almizclado']",4.14,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': []}"
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html,,Y Eau de Parfum Yves Saint Laurent,for men,"['citrus', 'woody', 'herbal', 'fresh spicy', 'aromatic', 'green', 'fresh', 'amber', 'warm spicy', 'fruity']",4.4,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Amberwood', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']}"
https://www.fragrantica.es/perfume/Robert-Piguet/Bandit-15.html,,Bandit Robert Piguet,Mujeres,"['floral blanco', 'cuero', 'animálico', 'aromático', 'verde', 'aldehídico', 'amaderado', 'terrosos', 'musgoso', 'almizclado']",4.02,"{'notas_de_salida': ['aldehídos', 'gálbano', 'abrótano', 'bergamota', 'neroli', 'gardenia', 'ylang-ylang', 'naranja'], 'notas_de_corazon': ['clavel', 'jazmín', 'raíz de la violeta', 'nardos', 'rosa'], 'notas_de_base': ['musgo de roble', 'cuero', 'algalia (civet)', 'vetiver', 'pachulí', 'mirra', 'almizcle', 'ámbar', 'coco']}"
https://www.fragrantica.es/perfume/Elizabeth-Arden/Red-Door-Revealed-87.html,,Red Door Revealed Elizabeth Arden,Mujeres,"['afrutados', 'florales', 'floral blanco', 'fresco', 'animálico', 'rosas', 'atalcado', 'amaderado', 'dulce', 'almizclado']",3.76,"{'notas_de_salida': ['peonía rosa', 'orquídea verde', 'pera'], 'notas_de_corazon': ['rosa de Bulgaria (rosa Damascena de Bulgaria)', 'azucena', 'ciruela', 'flor de tiaré', 'champaca amarilla', 'flor de azahar del naranjo'], 'notas_de_base': ['almizcle', 'madera de gaiac', 'musgo de roble', 'ámbar negro']}"
